Risk_Description,Impact,Likelihood
"Extended power outage at primary data center causes all systems and services to go offline, resulting in prolonged downtime and inability to serve customers",5,4
"Malware infection spreads quickly across network due to unpatched vulnerabilities, disrupting operations, stealing data, and requiring rebuild of systems",4,3
"Improper firewall rules allow malicious actors to gain access to confidential databases, exposing sensitive customer information",5,2
"DoS attack overwhelms web servers with traffic, taking customer-facing applications offline and impacting revenue",3,4
"Storage array fails without warning, corrupting database files and requiring restore from 3-day old backups, leading to potential data loss",4,3
Hacker exploits public-facing web app vulnerability to steal login credentials and gain access to internal systems,5,2
"Accidental deletion of virtual machine images disables critical business applications, requiring manual rebuild and reconfiguration",3,2
"Overflow of improperly monitored log files fills up disk space, crashing production servers and causing work stoppages",2,3
"Network switch firmware bug causes intermittent packet loss and connectivity issues, disrupting VoIP and video conferencing",2,4
"Improper backup settings omit critical folders, leaving no restore point for lost data in the event of a storage failure",4,1
"Unpatched operating systems allow ransomware infection, encrypting files and holding data hostage until ransom paid",5,3
Lack of multi-factor authentication enables attacker to gain access to servers using stolen credentials,4,2
Network misconfiguration during maintenance window blocks internal access to public-facing web servers,3,3
Failure of inadequate UPS during power event corrupts datastores and causes extended outage during repairs,4,2
"Lack of proper load balancing causes web application servers to crash during traffic spikes, resulting in downtime",3,4
Improper firewall rule placement allows access to internal DNS server from the public internet,4,1
"Expired TLS certificate causes customer-facing sites to display warnings, hurting trust and conversions",2,3
Weak passwords used across infrastructure allows attacker to easily gain broad network access,5,4
Unrestricted admin account access enables disgruntled employee to destroy key configurations before leaving company,4,1
